current,voltage,capacity
1299.8,3.4458,17.3
1299.8,3.4461,17.4
1299.8,3.4461,17.4
1299.8,3.4464,17.4
1299.8,3.4468,17.5
1299.8,3.4468,17.5
1299.8,3.4471,17.5
1299.8,3.4471,17.6
1299.8,3.4474,17.6
1299.8,3.4477,17.6
1299.8,3.4477,17.7
1299.8,3.448,17.7
1299.8,3.4483,17.8
1299.8,3.4486,17.8
1299.8,3.4486,17.8
1299.8,3.4489,17.9
1299.8,3.4489,17.9
1299.8,3.4492,17.9
1299.8,3.4495,18
1299.8,3.4495,18
1299.8,3.4499,18
1299.8,3.4502,18.1
1299.8,3.4502,18.1
1299.8,3.4505,18.1
1299.8,3.4508,18.2
1299.8,3.4508,18.2
1299.8,3.4514,18.3
1299.8,3.4517,18.3
1299.8,3.4517,18.3
1299.8,3.452,18.4
1299.8,3.452,18.4
1299.8,3.4523,18.4
1299.8,3.4526,18.5
1299.8,3.4526,18.5
1299.8,3.453,18.5
1299.8,3.4533,18.6
1299.8,3.4533,18.6
1299.8,3.4536,18.7
1299.8,3.4539,18.7
1299.8,3.4539,18.7
1299.8,3.4542,18.8
1299.8,3.4542,18.8
1299.8,3.4545,18.8
1299.8,3.4548,18.9
1299.8,3.4548,18.9
1299.8,3.4551,18.9
1299.8,3.4554,19
1299.8,3.4554,19
1299.8,3.4557,19.1
1299.8,3.4561,19.1
1299.8,3.4561,19.1
1299.8,3.4564,19.2
1299.8,3.4564,19.2
1299.8,3.4567,19.2
1299.8,3.457,19.3
1299.8,3.457,19.3
1299.8,3.4573,19.3
1299.8,3.4576,19.4
1299.8,3.4576,19.4
1299.8,3.4579,19.4
1299.8,3.4585,19.5
1299.8,3.4585,19.5
1299.8,3.4588,19.6
1299.8,3.4588,19.6
1299.8,3.4592,19.6
1299.8,3.4595,19.7
1299.8,3.4595,19.7
1299.8,3.4598,19.7
1299.8,3.4598,19.8
1299.8,3.4601,19.8
1299.8,3.4604,19.8
1299.8,3.4604,19.9
1299.8,3.4607,19.9
1299.8,3.461,20
1299.8,3.461,20
1299.8,3.4613,20
1299.8,3.4613,20.1
1299.8,3.4616,20.1
1299.8,3.4619,20.1
1299.8,3.4619,20.2
1299.8,3.4623,20.2
1299.8,3.4623,20.2
1299.8,3.4626,20.3
1299.8,3.4629,20.3
1299.8,3.4629,20.4
1299.8,3.4632,20.4
1299.8,3.4635,20.4
1299.8,3.4635,20.5
1299.8,3.4638,20.5
1299.8,3.4638,20.5
1299.8,3.4641,20.6
1299.8,3.4641,20.6
1299.8,3.4644,20.6
1299.8,3.4647,20.7
1299.8,3.4647,20.7
1299.8,3.465,20.7
1299.8,3.465,20.8
1299.8,3.4654,20.8
1299.8,3.466,20.9
1299.8,3.466,20.9
1299.8,3.4663,20.9
1299.8,3.4666,21
1299.8,3.4666,21
1299.8,3.4669,21
1299.8,3.4669,21.1
1299.8,3.4672,21.1
1299.8,3.4672,21.1
1299.8,3.4675,21.2
1299.8,3.4675,21.2
1299.8,3.4678,21.3
1299.8,3.4681,21.3
1299.8,3.4681,21.3
1299.8,3.4685,21.4
1299.8,3.4685,21.4
1299.8,3.4688,21.4
1299.8,3.4688,21.5
1299.8,3.4691,21.5
1299.8,3.4691,21.5
1299.8,3.4694,21.6
1299.8,3.4697,21.6
1299.8,3.4697,21.7
1299.8,3.47,21.7
1299.8,3.47,21.7
1299.8,3.4703,21.8
1299.8,3.4703,21.8
1299.8,3.4706,21.8
1299.8,3.4709,21.9
1299.8,3.4709,21.9
1299.8,3.4712,21.9
1299.8,3.4712,22
1299.8,3.4716,22
1299.8,3.4716,22
1299.8,3.4719,22.1
1299.8,3.4722,22.1
1299.8,3.4722,22.2
1299.8,3.4725,22.2
1299.8,3.4725,22.2
1299.8,3.4731,22.3
1299.8,3.4731,22.3
1299.8,3.4734,22.3
1299.8,3.4737,22.4
